filepath,prediction,label,mad,ssim,l2
./data/140k_flickr_faces/real_vs_fake/real-vs-fake/test/fake/1YA9BEUPIY.jpg,1,0,0.9999999984111746,0.44256919622421265,15.413116455078125
./data/140k_flickr_faces/real_vs_fake/real-vs-fake/test/fake/ADCRLLS4SN.jpg,1,0,0.9999999974710688,0.3033844232559204,15.479700088500977
./data/140k_flickr_faces/real_vs_fake/real-vs-fake/test/fake/XKSB93KN1D.jpg,1,0,0.9999999999926733,0.309420645236969,15.487983703613281
./data/140k_flickr_faces/real_vs_fake/real-vs-fake/test/fake/8G6XUPZP85.jpg,1,0,0.99999999949748,0.3425465226173401,15.30249309539795
./data/140k_flickr_faces/real_vs_fake/real-vs-fake/test/fake/8D4DIU10HT.jpg,1,0,0.9999999989275138,0.2889188528060913,15.341084480285645
./data/140k_flickr_faces/real_vs_fake/real-vs-fake/test/fake/VW9OPF5171.jpg,1,0,0.9999999995294976,0.3296036124229431,15.507710456848145
./data/140k_flickr_faces/real_vs_fake/real-vs-fake/test/fake/DP946Q3UB2.jpg,1,0,0.999999997824864,0.3662533164024353,15.441399574279785
./data/140k_flickr_faces/real_vs_fake/real-vs-fake/test/fake/SKZ8JO91W8.jpg,1,0,0.9999999867713619,0.33032768964767456,15.511760711669922
./data/140k_flickr_faces/real_vs_fake/real-vs-fake/test/fake/L0UD3IT0UW.jpg,1,0,0.9999999509382886,0.30873262882232666,15.402459144592285
./data/140k_flickr_faces/real_vs_fake/real-vs-fake/test/fake/Q9E3LNSHES.jpg,1,0,0.9999999857266476,0.2508079409599304,15.397077560424805
./data/140k_flickr_faces/real_vs_fake/real-vs-fake/test/fake/H46WXV7UKM.jpg,1,0,0.999999993680451,0.3500913381576538,15.513971328735352
./data/140k_flickr_faces/real_vs_fake/real-vs-fake/test/fake/HP8IE5OQQM.jpg,1,0,0.9999999977800476,0.27503615617752075,15.234400749206543
./data/140k_flickr_faces/real_vs_fake/real-vs-fake/test/fake/IAHRY88N8I.jpg,0,0,0.9999999829736296,0.3043487071990967,15.381335258483887
./data/140k_flickr_faces/real_vs_fake/real-vs-fake/test/fake/VT704YWPX5.jpg,0,0,0.9999999997920533,0.38479143381118774,15.469304084777832
./data/140k_flickr_faces/real_vs_fake/real-vs-fake/test/fake/3C1FE84U5Z.jpg,1,0,0.9999999998471039,0.29571086168289185,15.518363952636719
./data/140k_flickr_faces/real_vs_fake/real-vs-fake/test/fake/MW1A17ECLM.jpg,1,0,0.9999988926795542,0.20674633979797363,15.365577697753906
./data/140k_flickr_faces/real_vs_fake/real-vs-fake/test/fake/APD2FCR5XT.jpg,1,0,0.9999999957462522,0.2729912996292114,15.435858726501465
./data/140k_flickr_faces/real_vs_fake/real-vs-fake/test/fake/HADHLIQHOO.jpg,1,0,0.9999999974714077,0.2803293466567993,15.518442153930664
./data/140k_flickr_faces/real_vs_fake/real-vs-fake/test/fake/N9TEDAT6KW.jpg,1,0,0.9999999989818942,0.36063724756240845,15.402807235717773
./data/140k_flickr_faces/real_vs_fake/real-vs-fake/test/fake/7GY7XMBMCL.jpg,1,0,0.9999999999837467,0.35474032163619995,15.231560707092285
./data/140k_flickr_faces/real_vs_fake/real-vs-fake/test/fake/5SXZKCT9ZE.jpg,1,0,0.9999999938909103,0.3979235291481018,14.847626686096191
./data/140k_flickr_faces/real_vs_fake/real-vs-fake/test/fake/CWZ9G8E8EA.jpg,1,0,0.9999999997401965,0.22820019721984863,15.08657169342041
./data/140k_flickr_faces/real_vs_fake/real-vs-fake/test/fake/OTT9D04STI.jpg,1,0,0.9999999485448086,0.24664735794067383,15.49065113067627
./data/140k_flickr_faces/real_vs_fake/real-vs-fake/test/fake/I4Y6IT2QN2.jpg,1,0,0.9999999980513502,0.3394138216972351,15.481696128845215
