filepath,prediction,label,mad,ssim,dists,l2
nopathgiven,1,1,0.0,1.0,0.0
nopathgiven,5,5,0.0,1.0,0.0
nopathgiven,3,3,0.0,1.0,0.0
nopathgiven,5,5,0.0,1.0,0.0
nopathgiven,0,1,0.0,1.0000001192092896,7.7783221286154e-07
nopathgiven,8,3,0.0,1.0,0.0
nopathgiven,2,0,0.0,0.9999998211860657,8.798627959549776e-07
nopathgiven,2,6,0.0,1.0,0.0
nopathgiven,9,9,0.0,1.0,0.0
nopathgiven,4,4,0.0,1.0,0.0
nopathgiven,7,7,0.0,1.0,0.0
nopathgiven,9,9,0.0,1.0,0.0
nopathgiven,5,5,0.0,1.0,0.0
nopathgiven,4,7,0.0,1.0,0.0
nopathgiven,7,7,0.0,1.0,0.0
nopathgiven,4,4,0.0,1.0,0.0
nopathgiven,8,8,0.0,1.0,0.0
nopathgiven,1,1,0.0,1.0,0.0
nopathgiven,3,1,0.0,1.0000001192092896,8.661600645609724e-07
nopathgiven,7,7,0.0,1.0,0.0
nopathgiven,2,2,0.0,1.0,0.0
nopathgiven,6,6,0.0,1.0,0.0
nopathgiven,4,2,0.0,1.0,9.237217568625056e-07
nopathgiven,4,4,0.0,1.0,0.0
nopathgiven,7,7,0.0,1.0,0.0
nopathgiven,5,5,0.0,1.0,0.0
nopathgiven,8,8,0.0,1.0,0.0
nopathgiven,7,7,0.0,1.0,0.0
nopathgiven,5,4,0.0,1.0,0.0
nopathgiven,3,4,0.0,1.0000001192092896,7.605444807268213e-07
